,AUC,avg_cosine
BAAI/bge-base-en-v1.5,0.931893481634182,0.7241139634914543
llmrails/ember-v1,0.9374992452596391,0.6978573975234746
thenlper/gte-large,0.9308503473776996,0.8729848293543957
infgrad/stella-base-en-v2,0.9348323561135378,0.7694117315074318
sentence-transformers/gtr-t5-large,0.9389203974214916,0.7785204609871659
