metric_accuracy,metric_precision,metric_recall,metric_AUC,model_name,dataset_size,dense_out_features,learning_rate,scheduler,warmup_steps,freeze_embedding_model,batch_size,num_epochs
0.8584,0.6418,0.8696,0.8623,sentence-transformers/all-mpnet-base-v2,2000,193,0.0003002560151933059,warmupcosine,500,True,32,5
0.8555,0.6358,0.87,0.8606,sentence-transformers/all-mpnet-base-v2,2000,407,0.00030044075982061313,warmupcosinewithhardrestarts,500,True,64,5
0.8571,0.639,0.8704,0.8618,sentence-transformers/all-mpnet-base-v2,2000,441,0.0005104802933951466,warmupcosine,500,True,64,5
0.8564,0.637,0.8735,0.8624,sentence-transformers/all-mpnet-base-v2,2000,175,0.0006716912749738477,warmupcosinewithhardrestarts,1500,True,32,5
0.8543,0.6346,0.8639,0.8577,sentence-transformers/all-mpnet-base-v2,2000,114,5.9876031764513675e-05,constantlr,1500,True,64,5
0.8661,0.6538,0.8883,0.8739,sentence-transformers/all-mpnet-base-v2,2000,120,0.0009223239677182974,warmuplinear,500,False,64,5
0.8633,0.6483,0.8865,0.8714,sentence-transformers/all-mpnet-base-v2,2000,396,9.598877916849322e-05,warmuplinear,500,False,64,5
0.8636,0.6473,0.8943,0.8744,sentence-transformers/all-mpnet-base-v2,2000,458,0.0002758528339419046,warmupconstant,1000,False,64,5
0.8598,0.6374,0.9057,0.8759,sentence-transformers/all-mpnet-base-v2,2000,365,0.0005917066193965251,warmupcosinewithhardrestarts,1000,False,64,5
0.8609,0.643,0.8887,0.8706,sentence-transformers/all-mpnet-base-v2,2000,437,0.0006222173503192278,warmupconstant,1500,False,32,5
0.8639,0.6542,0.8661,0.8647,sentence-transformers/all-mpnet-base-v2,4000,361,0.00028998523013442316,constantlr,1500,True,32,5
0.859,0.6438,0.8661,0.8615,sentence-transformers/all-mpnet-base-v2,4000,221,0.0003535046911634822,warmuplinear,1500,True,64,5
0.8637,0.653,0.8696,0.8658,sentence-transformers/all-mpnet-base-v2,4000,549,0.00033762855913978935,warmupcosine,1500,True,32,5
0.865,0.6574,0.8626,0.8642,sentence-transformers/all-mpnet-base-v2,4000,732,0.0008002039527115235,warmupconstant,1500,True,32,5
0.8573,0.6398,0.8687,0.8613,sentence-transformers/all-mpnet-base-v2,4000,210,0.00014885646599248285,warmupcosinewithhardrestarts,1500,True,64,5
0.8686,0.6634,0.8704,0.8692,sentence-transformers/all-mpnet-base-v2,4000,649,0.0007903757437805019,warmuplinear,1500,False,32,5
0.8735,0.6716,0.8804,0.8759,sentence-transformers/all-mpnet-base-v2,4000,908,0.0004446780929338936,warmupcosinewithhardrestarts,1500,False,32,5
0.866,0.6561,0.877,0.8698,sentence-transformers/all-mpnet-base-v2,4000,569,0.0003803419941899258,warmupcosine,500,False,32,5
0.8744,0.6723,0.8857,0.8783,sentence-transformers/all-mpnet-base-v2,4000,615,4.2928138305846884e-05,warmupcosinewithhardrestarts,1500,False,64,5
0.77,0.0,0.0,0.5,sentence-transformers/all-mpnet-base-v2,4000,149,0.00036311636935031186,constantlr,1500,False,32,5
0.8687,0.6672,0.8561,0.8643,sentence-transformers/all-mpnet-base-v2,8000,528,6.0909175683540526e-05,constantlr,1500,True,32,5
0.8681,0.6653,0.8583,0.8646,sentence-transformers/all-mpnet-base-v2,8000,829,0.0007658807315419101,warmuplinear,500,True,64,5
0.8589,0.6441,0.8639,0.8607,sentence-transformers/all-mpnet-base-v2,8000,330,4.5096962346868586e-05,warmupcosine,1500,True,64,5
0.866,0.6597,0.8622,0.8647,sentence-transformers/all-mpnet-base-v2,8000,336,6.0907965864983294e-05,warmupcosine,1000,True,32,5
0.8668,0.6669,0.8409,0.8577,sentence-transformers/all-mpnet-base-v2,8000,131,0.0005682008838112798,warmuplinear,1000,True,64,5
0.8744,0.6772,0.8674,0.8719,sentence-transformers/all-mpnet-base-v2,8000,689,0.00036524293750592895,warmupcosinewithhardrestarts,1500,False,32,5
0.878,0.6849,0.8696,0.875,sentence-transformers/all-mpnet-base-v2,8000,878,0.00018067014330115007,warmuplinear,1000,False,64,5
