metric_accuracy,metric_precision,metric_recall,metric_AUC,model_name,dataset_size,dense_out_features,learning_rate,scheduler,warmup_steps,freeze_embedding_model,batch_size,num_epochs
0.8554,0.6445,0.8278,0.8457,sentence-transformers/all-mpnet-base-v2,8000,538,0.0006924121573276459,warmupconstant,1000,False,32,5
0.8755,0.6775,0.8752,0.8754,sentence-transformers/all-mpnet-base-v2,8000,441,0.0001717153807870291,warmuplinear,1500,False,32,5
0.8683,0.6684,0.8483,0.8613,sentence-transformers/all-mpnet-base-v2,16000,391,0.0007874082368183626,warmupconstant,500,True,32,5
0.8728,0.6779,0.8517,0.8654,sentence-transformers/all-mpnet-base-v2,16000,833,0.0005133865229264891,warmupconstant,1500,True,64,5
0.8697,0.6718,0.8474,0.8619,sentence-transformers/all-mpnet-base-v2,16000,688,0.0009405776243116021,constantlr,1500,True,64,5
0.8712,0.6762,0.8443,0.8618,sentence-transformers/all-mpnet-base-v2,16000,480,0.0009064921551350066,warmupcosinewithhardrestarts,1500,True,32,5
0.874,0.6804,0.8526,0.8665,sentence-transformers/all-mpnet-base-v2,16000,907,0.0003440108820383456,warmupconstant,500,True,32,5
0.77,0.0,0.0,0.5,sentence-transformers/all-mpnet-base-v2,16000,151,0.0008879102389404488,warmuplinear,500,False,32,5
0.8689,0.6679,0.8552,0.8641,sentence-transformers/all-mpnet-base-v2,16000,348,0.00025682542499956036,warmuplinear,1500,False,32,5
0.845,0.6244,0.8183,0.8356,sentence-transformers/all-mpnet-base-v2,16000,638,0.000170041773496682,constantlr,1500,False,64,5
0.77,0.0,0.0,0.5,sentence-transformers/all-mpnet-base-v2,16000,337,0.0006819266052359832,warmuplinear,500,False,32,5
0.845,0.6181,0.8535,0.848,BAAI/bge-base-en-v1.5,2000,253,9.773405085999617e-05,warmupcosinewithhardrestarts,500,True,64,5
0.8464,0.6195,0.8609,0.8515,BAAI/bge-base-en-v1.5,2000,160,0.0005962362073177193,warmupcosinewithhardrestarts,1500,True,64,5
0.8509,0.6276,0.8652,0.8559,BAAI/bge-base-en-v1.5,2000,173,0.0003996567824643717,warmupcosine,1000,True,32,5
0.8502,0.6259,0.8665,0.8559,BAAI/bge-base-en-v1.5,2000,302,0.0009828762841224943,warmuplinear,1500,True,64,5
0.854,0.6348,0.86,0.8561,BAAI/bge-base-en-v1.5,2000,716,0.0009860529815853927,warmupcosinewithhardrestarts,1500,True,32,5
0.8546,0.6276,0.9043,0.872,BAAI/bge-base-en-v1.5,2000,548,0.0001585231505722841,warmupcosine,500,False,32,5
0.77,0.0,0.0,0.5,BAAI/bge-base-en-v1.5,2000,783,0.0008064557223312474,constantlr,1000,False,32,5
0.8537,0.6285,0.89,0.8664,BAAI/bge-base-en-v1.5,2000,583,0.00013322197478206842,warmupcosinewithhardrestarts,1500,False,32,5
0.8548,0.6321,0.8822,0.8644,BAAI/bge-base-en-v1.5,2000,838,0.0009470499065184289,warmupconstant,1500,False,32,5
0.8556,0.6331,0.8852,0.866,BAAI/bge-base-en-v1.5,2000,502,0.00017727070896533776,warmuplinear,1500,False,32,5
0.858,0.6429,0.8604,0.8589,BAAI/bge-base-en-v1.5,4000,469,0.0005845852871864657,constantlr,500,True,64,5
0.8561,0.6384,0.8635,0.8587,BAAI/bge-base-en-v1.5,4000,143,0.0005507847851286223,warmupcosinewithhardrestarts,1500,True,64,5
0.8611,0.6473,0.8704,0.8644,BAAI/bge-base-en-v1.5,4000,960,0.0004091760434268336,warmuplinear,1500,True,32,5
0.86,0.6472,0.8604,0.8602,BAAI/bge-base-en-v1.5,4000,702,0.0003584343645722189,warmuplinear,1000,True,32,5
0.8504,0.6269,0.8635,0.855,BAAI/bge-base-en-v1.5,4000,185,1.3507208741274799e-05,constantlr,500,True,32,5
0.8492,0.6262,0.8543,0.851,BAAI/bge-base-en-v1.5,4000,428,1.2137124299661095e-05,warmupconstant,1500,False,64,5
0.862,0.6492,0.8704,0.865,BAAI/bge-base-en-v1.5,4000,130,0.00037850445214636787,warmupcosinewithhardrestarts,1500,False,64,5
0.8285,0.592,0.8183,0.8249,BAAI/bge-base-en-v1.5,4000,735,0.0003916795230405431,constantlr,500,False,64,5
0.8355,0.599,0.8613,0.8445,BAAI/bge-base-en-v1.5,4000,167,0.0009794801110969435,warmupcosinewithhardrestarts,500,False,32,5
0.8629,0.6504,0.8735,0.8666,BAAI/bge-base-en-v1.5,4000,559,0.0009584200463263677,warmupconstant,1000,False,64,5
0.8637,0.6549,0.8613,0.8629,BAAI/bge-base-en-v1.5,8000,458,0.0001605140791877277,warmupconstant,1500,True,32,5
0.8617,0.6512,0.8587,0.8606,BAAI/bge-base-en-v1.5,8000,896,0.00024133280609547818,warmupcosine,1500,True,64,5
0.8626,0.6539,0.8552,0.86,BAAI/bge-base-en-v1.5,8000,290,0.0002729689484058606,constantlr,1000,True,32,5
0.8645,0.66,0.8474,0.8585,BAAI/bge-base-en-v1.5,8000,171,0.0005004971892421579,warmupcosinewithhardrestarts,1500,True,32,5
0.8667,0.6643,0.85,0.8608,BAAI/bge-base-en-v1.5,8000,230,0.0006129491962963728,constantlr,1500,True,64,5
0.8507,0.6329,0.8352,0.8453,BAAI/bge-base-en-v1.5,8000,710,0.0004003923033375728,warmupconstant,500,False,32,5
0.8383,0.6147,0.7957,0.8233,BAAI/bge-base-en-v1.5,8000,465,0.0006002118275448072,warmuplinear,500,False,32,5
0.77,0.0,0.0,0.5,BAAI/bge-base-en-v1.5,8000,922,0.0006870431615173872,constantlr,1500,False,32,5
0.77,0.0,0.0,0.5,BAAI/bge-base-en-v1.5,8000,620,0.0006310784081900214,constantlr,500,False,64,5
0.8691,0.6696,0.8504,0.8626,BAAI/bge-base-en-v1.5,16000,506,0.000886911223501287,constantlr,1000,True,32,5
0.8684,0.6666,0.8561,0.8641,BAAI/bge-base-en-v1.5,16000,429,0.0004043078035065388,warmupconstant,1000,True,32,5
0.869,0.668,0.8557,0.8643,BAAI/bge-base-en-v1.5,16000,217,0.00037137700056365193,constantlr,1000,True,32,5
0.8721,0.6771,0.8487,0.8639,BAAI/bge-base-en-v1.5,16000,914,0.0005320215813093271,warmuplinear,500,True,32,5
0.8659,0.6618,0.8526,0.8612,BAAI/bge-base-en-v1.5,16000,360,0.0007106116091402574,constantlr,1000,True,32,5
