metric_accuracy,metric_precision,metric_recall,metric_AUC,model_name,dataset_size,dense_out_features,learning_rate,scheduler,warmup_steps,freeze_embedding_model,batch_size,num_epochs
0.8789,0.6926,0.8513,0.8692,BAAI/bge-base-en-v1.5,128000,256,0.0001,warmuplinear,500,True,32,8
0.8784,0.6908,0.853,0.8695,BAAI/bge-base-en-v1.5,128000,128,0.0001,warmuplinear,500,True,32,8
0.8776,0.6911,0.8461,0.8665,BAAI/bge-base-en-v1.5,128000,512,0.0001,warmuplinear,500,True,32,8
0.8765,0.7041,0.7987,0.8492,BAAI/bge-base-en-v1.5,128000,512,0.0001,warmuplinear,500,False,32,8
0.876,0.6852,0.8526,0.8678,BAAI/bge-base-en-v1.5,64000,256,0.0001,warmuplinear,500,True,32,8
0.8757,0.6843,0.853,0.8678,BAAI/bge-base-en-v1.5,64000,64,0.0001,warmuplinear,500,True,32,8
0.8755,0.6858,0.8465,0.8653,BAAI/bge-base-en-v1.5,128000,64,0.0001,warmuplinear,500,True,32,8
0.8754,0.7004,0.8009,0.8493,BAAI/bge-base-en-v1.5,128000,128,0.0001,warmuplinear,500,False,32,8
0.8742,0.6807,0.8535,0.8669,BAAI/bge-base-en-v1.5,64000,128,0.0001,warmuplinear,500,True,32,8
0.8738,0.6798,0.853,0.8665,BAAI/bge-base-en-v1.5,64000,512,0.0001,warmuplinear,500,True,32,8
0.8733,0.698,0.7917,0.8447,BAAI/bge-base-en-v1.5,128000,256,0.0001,warmuplinear,500,False,32,8
0.8722,0.689,0.81,0.8504,BAAI/bge-base-en-v1.5,64000,256,0.0001,warmuplinear,500,False,32,8
0.8716,0.6873,0.8104,0.8502,BAAI/bge-base-en-v1.5,64000,512,0.0001,warmuplinear,500,False,32,8
0.8714,0.6704,0.8674,0.87,BAAI/bge-base-en-v1.5,8000,512,0.0001,warmuplinear,500,False,32,8
0.8692,0.6648,0.87,0.8695,BAAI/bge-base-en-v1.5,8000,256,0.0001,warmuplinear,500,False,32,8
0.869,0.6672,0.8587,0.8654,BAAI/bge-base-en-v1.5,16000,512,0.0001,warmuplinear,500,True,32,8
0.868,0.6666,0.8526,0.8626,BAAI/bge-base-en-v1.5,16000,256,0.0001,warmuplinear,500,True,32,8
0.8677,0.6662,0.8513,0.862,BAAI/bge-base-en-v1.5,16000,128,0.0001,warmuplinear,500,True,32,8
0.867,0.6748,0.8139,0.8484,BAAI/bge-base-en-v1.5,64000,128,0.0001,warmuplinear,500,False,32,8
0.8664,0.6625,0.8543,0.8622,BAAI/bge-base-en-v1.5,8000,128,0.0001,warmuplinear,500,False,32,8
0.8657,0.6591,0.8617,0.8643,BAAI/bge-base-en-v1.5,16000,256,0.0001,warmuplinear,500,False,32,8
0.8648,0.6613,0.8448,0.8578,BAAI/bge-base-en-v1.5,16000,512,0.0001,warmuplinear,500,False,32,8
0.8642,0.6585,0.8509,0.8595,BAAI/bge-base-en-v1.5,16000,64,0.0001,warmuplinear,500,True,32,8
0.8639,0.6708,0.8017,0.8421,BAAI/bge-base-en-v1.5,64000,64,0.0001,warmuplinear,500,False,32,8
0.8636,0.6565,0.8535,0.8601,BAAI/bge-base-en-v1.5,8000,512,0.0001,warmuplinear,500,True,32,8
0.8631,0.6563,0.85,0.8585,BAAI/bge-base-en-v1.5,8000,256,0.0001,warmuplinear,500,True,32,8
0.863,0.6552,0.8535,0.8597,BAAI/bge-base-en-v1.5,8000,64,0.0001,warmuplinear,500,False,32,8
0.8614,0.6538,0.8448,0.8556,BAAI/bge-base-en-v1.5,16000,128,0.0001,warmuplinear,500,False,32,8
0.8614,0.6507,0.8578,0.8601,BAAI/bge-base-en-v1.5,8000,128,0.0001,warmuplinear,500,True,32,8
0.8604,0.6511,0.847,0.8557,BAAI/bge-base-en-v1.5,16000,64,0.0001,warmuplinear,500,False,32,8
0.8588,0.6468,0.8504,0.8559,BAAI/bge-base-en-v1.5,8000,64,0.0001,warmuplinear,500,True,32,8
0.8582,0.6358,0.8978,0.8721,BAAI/bge-base-en-v1.5,2000,512,0.0001,warmuplinear,500,False,32,8
0.8562,0.6379,0.867,0.86,BAAI/bge-base-en-v1.5,2000,512,0.0001,warmuplinear,500,True,32,8
0.856,0.6351,0.8791,0.8641,BAAI/bge-base-en-v1.5,2000,256,0.0001,warmuplinear,500,False,32,8
0.8543,0.6335,0.8696,0.8597,BAAI/bge-base-en-v1.5,2000,256,0.0001,warmuplinear,500,True,32,8
0.8489,0.6202,0.8852,0.8616,BAAI/bge-base-en-v1.5,2000,128,0.0001,warmuplinear,500,False,32,8
0.8481,0.6235,0.8574,0.8514,BAAI/bge-base-en-v1.5,2000,128,0.0001,warmuplinear,500,True,32,8
0.8467,0.62,0.8617,0.852,BAAI/bge-base-en-v1.5,2000,64,0.0001,warmuplinear,500,True,32,8
0.8453,0.6141,0.8809,0.8578,BAAI/bge-base-en-v1.5,2000,64,0.0001,warmuplinear,500,False,32,8
0.77,0.0,0.0,0.5,BAAI/bge-base-en-v1.5,128000,64,0.0001,warmuplinear,500,False,32,8
