metric_accuracy,metric_precision,metric_recall,metric_AUC,model_name,dataset_size,dense_out_features,learning_rate,scheduler,warmup_steps,freeze_embedding_model,batch_size,num_epochs
0.8802,0.7173,0.7909,0.8489,all-MiniLM-L6-v2,128000,512,0.0001,warmuplinear,500,False,32,8
0.8786,0.7129,0.7904,0.8477,all-MiniLM-L6-v2,128000,128,0.0001,warmuplinear,500,False,32,8
0.8769,0.7076,0.7922,0.8472,all-MiniLM-L6-v2,128000,256,0.0001,warmuplinear,500,False,32,8
0.8745,0.7055,0.78,0.8414,all-MiniLM-L6-v2,128000,64,0.0001,warmuplinear,500,False,32,8
0.8729,0.6926,0.8043,0.8489,all-MiniLM-L6-v2,64000,512,0.0001,warmuplinear,500,False,32,8
0.872,0.691,0.8022,0.8475,all-MiniLM-L6-v2,64000,64,0.0001,warmuplinear,500,False,32,8
0.871,0.6876,0.8048,0.8478,all-MiniLM-L6-v2,64000,256,0.0001,warmuplinear,500,False,32,8
0.8707,0.6905,0.7935,0.8436,all-MiniLM-L6-v2,64000,128,0.0001,warmuplinear,500,False,32,8
0.8662,0.6667,0.8365,0.8558,all-MiniLM-L6-v2,128000,512,0.0001,warmuplinear,500,True,32,8
0.866,0.6677,0.8309,0.8537,all-MiniLM-L6-v2,16000,512,0.0001,warmuplinear,500,False,32,8
0.8655,0.6647,0.8378,0.8558,all-MiniLM-L6-v2,128000,128,0.0001,warmuplinear,500,True,32,8
0.8645,0.6628,0.8365,0.8547,all-MiniLM-L6-v2,128000,256,0.0001,warmuplinear,500,True,32,8
0.8639,0.6554,0.8609,0.8628,all-MiniLM-L6-v2,8000,512,0.0001,warmuplinear,500,False,32,8
0.8638,0.6599,0.8417,0.8561,all-MiniLM-L6-v2,64000,512,0.0001,warmuplinear,500,True,32,8
0.8638,0.6593,0.8439,0.8568,all-MiniLM-L6-v2,64000,256,0.0001,warmuplinear,500,True,32,8
0.8626,0.659,0.8343,0.8527,all-MiniLM-L6-v2,64000,128,0.0001,warmuplinear,500,True,32,8
0.8622,0.6531,0.8552,0.8598,all-MiniLM-L6-v2,8000,256,0.0001,warmuplinear,500,False,32,8
0.8622,0.657,0.8387,0.854,all-MiniLM-L6-v2,16000,128,0.0001,warmuplinear,500,False,32,8
0.8612,0.654,0.8422,0.8545,all-MiniLM-L6-v2,16000,256,0.0001,warmuplinear,500,False,32,8
0.8609,0.6545,0.837,0.8525,all-MiniLM-L6-v2,128000,64,0.0001,warmuplinear,500,True,32,8
0.8604,0.6521,0.8426,0.8542,all-MiniLM-L6-v2,8000,128,0.0001,warmuplinear,500,False,32,8
0.8587,0.6511,0.8309,0.8489,all-MiniLM-L6-v2,64000,64,0.0001,warmuplinear,500,True,32,8
0.8583,0.6471,0.8443,0.8534,all-MiniLM-L6-v2,16000,512,0.0001,warmuplinear,500,True,32,8
0.8574,0.6457,0.8422,0.8521,all-MiniLM-L6-v2,16000,256,0.0001,warmuplinear,500,True,32,8
0.8561,0.6426,0.8435,0.8517,all-MiniLM-L6-v2,8000,64,0.0001,warmuplinear,500,False,32,8
0.8552,0.6412,0.8409,0.8502,all-MiniLM-L6-v2,16000,128,0.0001,warmuplinear,500,True,32,8
0.8546,0.6414,0.8343,0.8475,all-MiniLM-L6-v2,16000,64,0.0001,warmuplinear,500,False,32,8
0.8543,0.6387,0.8439,0.8507,all-MiniLM-L6-v2,8000,512,0.0001,warmuplinear,500,True,32,8
0.8512,0.6276,0.8683,0.8572,all-MiniLM-L6-v2,2000,512,0.0001,warmuplinear,500,False,32,8
0.8505,0.6336,0.83,0.8433,all-MiniLM-L6-v2,8000,256,0.0001,warmuplinear,500,True,32,8
0.8503,0.6326,0.833,0.8442,all-MiniLM-L6-v2,16000,64,0.0001,warmuplinear,500,True,32,8
0.8503,0.6312,0.84,0.8467,all-MiniLM-L6-v2,8000,128,0.0001,warmuplinear,500,True,32,8
0.8472,0.6258,0.8348,0.8428,all-MiniLM-L6-v2,8000,64,0.0001,warmuplinear,500,True,32,8
0.8453,0.6168,0.8643,0.852,all-MiniLM-L6-v2,2000,64,0.0001,warmuplinear,500,False,32,8
0.844,0.6125,0.8761,0.8553,all-MiniLM-L6-v2,2000,256,0.0001,warmuplinear,500,False,32,8
0.8436,0.6133,0.8661,0.8515,all-MiniLM-L6-v2,2000,128,0.0001,warmuplinear,500,False,32,8
0.8423,0.6116,0.8613,0.849,all-MiniLM-L6-v2,2000,512,0.0001,warmuplinear,500,True,32,8
0.8418,0.6116,0.8557,0.8467,all-MiniLM-L6-v2,2000,256,0.0001,warmuplinear,500,True,32,8
0.8407,0.6103,0.8504,0.8441,all-MiniLM-L6-v2,2000,128,0.0001,warmuplinear,500,True,32,8
0.8379,0.6062,0.8426,0.8396,all-MiniLM-L6-v2,2000,64,0.0001,warmuplinear,500,True,32,8
