metric_accuracy,metric_precision,metric_recall,metric_AUC,model_name,dataset_size,dense_out_features,learning_rate,scheduler,warmup_steps,freeze_embedding_model,batch_size,num_epochs
0.8742,0.6758,0.8709,0.873,BAAI/bge-large-en-v1.5,16000,512,0.0001,warmuplinear,500,True,32,8
0.873,0.6749,0.8639,0.8698,BAAI/bge-large-en-v1.5,16000,256,0.0001,warmuplinear,500,True,32,8
0.8709,0.669,0.8683,0.87,BAAI/bge-large-en-v1.5,8000,512,0.0001,warmuplinear,500,False,32,8
0.8688,0.667,0.8578,0.865,BAAI/bge-large-en-v1.5,16000,128,0.0001,warmuplinear,500,True,32,8
0.8688,0.6666,0.8596,0.8656,BAAI/bge-large-en-v1.5,16000,64,0.0001,warmuplinear,500,True,32,8
0.8683,0.6649,0.8617,0.866,BAAI/bge-large-en-v1.5,8000,256,0.0001,warmuplinear,500,True,32,8
0.8681,0.6641,0.863,0.8663,BAAI/bge-large-en-v1.5,8000,512,0.0001,warmuplinear,500,True,32,8
0.8679,0.6651,0.8574,0.8642,BAAI/bge-large-en-v1.5,8000,128,0.0001,warmuplinear,500,True,32,8
0.865,0.6537,0.8783,0.8696,BAAI/bge-large-en-v1.5,8000,256,0.0001,warmuplinear,500,False,32,8
0.8625,0.6545,0.8517,0.8587,BAAI/bge-large-en-v1.5,8000,64,0.0001,warmuplinear,500,True,32,8
0.8611,0.6446,0.8826,0.8686,BAAI/bge-large-en-v1.5,2000,512,0.0001,warmuplinear,500,True,32,8
0.8592,0.641,0.8817,0.8671,BAAI/bge-large-en-v1.5,2000,128,0.0001,warmuplinear,500,True,32,8
0.8588,0.6401,0.8822,0.867,BAAI/bge-large-en-v1.5,2000,256,0.0001,warmuplinear,500,True,32,8
0.8585,0.6361,0.8991,0.8727,BAAI/bge-large-en-v1.5,2000,256,0.0001,warmuplinear,500,False,32,8
0.8585,0.6475,0.8448,0.8537,BAAI/bge-large-en-v1.5,8000,128,0.0001,warmuplinear,500,False,32,8
0.8579,0.634,0.9039,0.874,BAAI/bge-large-en-v1.5,2000,512,0.0001,warmuplinear,500,False,32,8
0.8561,0.6309,0.9022,0.8723,BAAI/bge-large-en-v1.5,2000,128,0.0001,warmuplinear,500,False,32,8
0.8532,0.6273,0.8913,0.8666,BAAI/bge-large-en-v1.5,2000,64,0.0001,warmuplinear,500,False,32,8
0.8508,0.6375,0.8143,0.838,BAAI/bge-large-en-v1.5,16000,512,0.0001,warmuplinear,500,False,32,8
0.8491,0.6236,0.8674,0.8555,BAAI/bge-large-en-v1.5,2000,64,0.0001,warmuplinear,500,True,32,8
0.8487,0.6291,0.8335,0.8434,BAAI/bge-large-en-v1.5,16000,256,0.0001,warmuplinear,500,False,32,8
0.8404,0.6114,0.84,0.8403,BAAI/bge-large-en-v1.5,8000,64,0.0001,warmuplinear,500,False,32,8
0.8284,0.5938,0.8035,0.8197,BAAI/bge-large-en-v1.5,16000,64,0.0001,warmuplinear,500,False,32,8
0.7755,0.5174,0.3565,0.6286,BAAI/bge-large-en-v1.5,16000,128,0.0001,warmuplinear,500,False,32,8
