metric_accuracy,metric_precision,metric_recall,metric_AUC,model_name,dataset_size,dense_out_features,learning_rate,scheduler,warmup_steps,freeze_embedding_model,batch_size,num_epochs
0.8789,0.6925,0.8517,0.8694,sentence-transformers/all-mpnet-base-v2,64000,512,0.0001,warmuplinear,500,True,32,8
0.878,0.7016,0.817,0.8566,sentence-transformers/all-mpnet-base-v2,64000,128,0.0001,warmuplinear,500,False,32,8
0.8778,0.6901,0.8509,0.8684,sentence-transformers/all-mpnet-base-v2,64000,256,0.0001,warmuplinear,500,True,32,8
0.8771,0.6852,0.8613,0.8716,sentence-transformers/all-mpnet-base-v2,8000,256,0.0001,warmuplinear,500,False,32,8
0.8759,0.6857,0.85,0.8668,sentence-transformers/all-mpnet-base-v2,64000,128,0.0001,warmuplinear,500,True,32,8
0.8757,0.686,0.8474,0.8658,sentence-transformers/all-mpnet-base-v2,64000,64,0.0001,warmuplinear,500,True,32,8
0.8737,0.6745,0.8713,0.8729,sentence-transformers/all-mpnet-base-v2,8000,512,0.0001,warmuplinear,500,False,32,8
0.873,0.6909,0.8104,0.8511,sentence-transformers/all-mpnet-base-v2,64000,256,0.0001,warmuplinear,500,False,32,8
0.8729,0.676,0.8591,0.8681,sentence-transformers/all-mpnet-base-v2,8000,64,0.0001,warmuplinear,500,False,32,8
0.8727,0.6768,0.8548,0.8664,sentence-transformers/all-mpnet-base-v2,16000,512,0.0001,warmuplinear,500,True,32,8
0.8723,0.6752,0.857,0.8669,sentence-transformers/all-mpnet-base-v2,16000,128,0.0001,warmuplinear,500,True,32,8
0.8715,0.6734,0.857,0.8664,sentence-transformers/all-mpnet-base-v2,8000,128,0.0001,warmuplinear,500,False,32,8
0.8713,0.6727,0.8578,0.8666,sentence-transformers/all-mpnet-base-v2,16000,256,0.0001,warmuplinear,500,True,32,8
0.8712,0.6887,0.803,0.8473,sentence-transformers/all-mpnet-base-v2,64000,64,0.0001,warmuplinear,500,False,32,8
0.8688,0.6688,0.8509,0.8625,sentence-transformers/all-mpnet-base-v2,16000,64,0.0001,warmuplinear,500,True,32,8
0.8687,0.667,0.857,0.8646,sentence-transformers/all-mpnet-base-v2,8000,128,0.0001,warmuplinear,500,True,32,8
0.8686,0.6671,0.8557,0.8641,sentence-transformers/all-mpnet-base-v2,8000,512,0.0001,warmuplinear,500,True,32,8
0.8686,0.6659,0.8604,0.8657,sentence-transformers/all-mpnet-base-v2,16000,256,0.0001,warmuplinear,500,False,32,8
0.8676,0.6652,0.8543,0.863,sentence-transformers/all-mpnet-base-v2,8000,256,0.0001,warmuplinear,500,True,32,8
0.8669,0.6662,0.8443,0.859,sentence-transformers/all-mpnet-base-v2,16000,512,0.0001,warmuplinear,500,False,32,8
0.8662,0.6535,0.8904,0.8747,sentence-transformers/all-mpnet-base-v2,2000,256,0.0001,warmuplinear,500,False,32,8
0.8643,0.6489,0.8935,0.8745,sentence-transformers/all-mpnet-base-v2,2000,512,0.0001,warmuplinear,500,False,32,8
0.8642,0.6611,0.8404,0.8559,sentence-transformers/all-mpnet-base-v2,8000,64,0.0001,warmuplinear,500,True,32,8
0.8633,0.6491,0.883,0.8702,sentence-transformers/all-mpnet-base-v2,2000,128,0.0001,warmuplinear,500,False,32,8
0.86,0.6448,0.8713,0.864,sentence-transformers/all-mpnet-base-v2,2000,256,0.0001,warmuplinear,500,True,32,8
0.8582,0.641,0.8717,0.8629,sentence-transformers/all-mpnet-base-v2,2000,512,0.0001,warmuplinear,500,True,32,8
0.8578,0.6441,0.853,0.8561,sentence-transformers/all-mpnet-base-v2,16000,64,0.0001,warmuplinear,500,False,32,8
0.8554,0.6344,0.8765,0.8628,sentence-transformers/all-mpnet-base-v2,2000,64,0.0001,warmuplinear,500,False,32,8
0.8549,0.6365,0.8604,0.8568,sentence-transformers/all-mpnet-base-v2,2000,128,0.0001,warmuplinear,500,True,32,8
0.8541,0.6355,0.8574,0.8553,sentence-transformers/all-mpnet-base-v2,2000,64,0.0001,warmuplinear,500,True,32,8
0.8507,0.6372,0.8148,0.8381,sentence-transformers/all-mpnet-base-v2,16000,128,0.0001,warmuplinear,500,False,32,8
0.77,0.0,0.0,0.5,sentence-transformers/all-mpnet-base-v2,64000,512,0.0001,warmuplinear,500,False,32,8
